#UPS-spectrum

#Date/time: 	2018-03-26__17-34-57


#AK pressure: 	8,69E-9 	mbar
#Pass energy: 	15.0 	eV
#Volt. bias: 	-15.0 	V
#Volt. lens: 	-15.0 	V
#Step width: 	20.0 	meV
#Counttime: 	200.0 	ms
#Vor: 	16.0 	V
#Nach: 	5.0 	V
#slope: 	0.613 	V/s
#offset: 	-48.850 	V


#Slope: 	72.7 	mV/s
#Counttime: 	200.0 	ms




#E_k 	 cps 	 Ana 	 Hemi 	 Hemo 	 EP 	 Mt + 	 + meas


19,255	000000	-19,266	-18,313	-19,964	14,988	208	11
19,236	000000	-19,247	-18,294	-19,945	14,989	211	11
19,217	000000	-19,229	-18,275	-19,926	14,988	217	11
19,193	000000	-19,204	-18,250	-19,901	14,989	207	10
19,173	000000	-19,185	-18,231	-19,882	14,989	222	12
19,155	000000	-19,166	-18,212	-19,863	14,989	222	11
19,140	000000	-19,147	-18,193	-19,845	14,992	223	11
19,121	000000	-19,129	-18,174	-19,826	14,993	206	11
19,100	000000	-19,110	-18,156	-19,807	14,990	213	12
19,076	000000	-19,085	-18,130	-19,782	14,991	204	10
19,060	000000	-19,066	-18,112	-19,764	14,994	206	10
19,039	000000	-19,048	-18,093	-19,744	14,991	205	10
19,024	000000	-19,029	-18,074	-19,726	14,996	206	10
19,003	000000	-19,010	-18,055	-19,707	14,992	207	11
18,984	000000	-18,992	-18,037	-19,688	14,992	206	10
18,967	000000	-18,973	-18,018	-19,670	14,995	205	10
18,940	000000	-18,948	-17,993	-19,645	14,992	208	12
18,926	000000	-18,929	-17,974	-19,626	14,997	220	12
18,903	000000	-18,910	-17,956	-19,607	14,993	221	12
18,887	000000	-18,891	-17,937	-19,589	14,995	222	12
18,868	000000	-18,873	-17,918	-19,570	14,995	216	11
18,850	000000	-18,855	-17,899	-19,552	14,995	222	11
18,824	000000	-18,830	-17,875	-19,527	14,994	206	11
18,805	000000	-18,812	-17,857	-19,508	14,994	207	13
18,789	000000	-18,793	-17,838	-19,490	14,996	217	12
18,773	000000	-18,775	-17,819	-19,472	14,998	212	11
18,753	000000	-18,756	-17,801	-19,453	14,996	221	11
18,737	000000	-18,738	-17,782	-19,435	14,999	208	11
18,713	000000	-18,713	-17,757	-19,410	15,000	222	12
18,691	000000	-18,695	-17,739	-19,391	14,997	220	12
18,673	000000	-18,676	-17,720	-19,373	14,997	216	11
18,656	000000	-18,658	-17,702	-19,354	14,998	215	11
18,635	000000	-18,639	-17,684	-19,336	14,995	204	10
18,619	000000	-18,621	-17,665	-19,318	14,998	219	12
18,593	000000	-18,596	-17,641	-19,293	14,996	207	10
18,573	000000	-18,578	-17,622	-19,274	14,995	207	10
18,557	000000	-18,559	-17,604	-19,256	14,998	221	11
18,538	000000	-18,541	-17,585	-19,238	14,996	221	11
18,520	000000	-18,523	-17,567	-19,219	14,998	221	11
18,500	000000	-18,504	-17,548	-19,200	14,996	220	11
18,479	000000	-18,480	-17,523	-19,176	14,999	222	11
18,458	000000	-18,461	-17,505	-19,158	14,997	222	11
18,442	000000	-18,443	-17,487	-19,139	14,999	206	10
18,422	000000	-18,425	-17,469	-19,121	14,997	205	10
18,391	000000	-18,406	-17,452	-19,103	14,985	221	11
18,371	000000	-18,388	-17,433	-19,084	14,983	221	11
18,347	000000	-18,363	-17,408	-19,059	14,984	219	11
18,330	000000	-18,345	-17,390	-19,041	14,985	219	11
18,312	000000	-18,326	-17,371	-19,022	14,986	207	10
18,288	000000	-18,307	-17,353	-19,003	14,981	207	10
18,273	000000	-18,289	-17,334	-18,985	14,984	223	11
18,254	000000	-18,271	-17,316	-18,967	14,984	207	10
18,237	000000	-18,252	-17,298	-18,949	14,984	206	14
18,211	000000	-18,227	-17,273	-18,923	14,983	207	11
18,195	000000	-18,209	-17,254	-18,905	14,986	206	10
18,179	000000	-18,190	-17,235	-18,887	14,988	220	12
18,158	000000	-18,172	-17,217	-18,868	14,986	220	12
18,143	000000	-18,153	-17,198	-18,850	14,990	219	11
18,124	000000	-18,135	-17,179	-18,830	14,989	218	12
18,097	000000	-18,110	-17,155	-18,806	14,987	222	12
18,082	000000	-18,091	-17,136	-18,787	14,991	204	10
18,060	000000	-18,073	-17,117	-18,769	14,987	205	10
18,044	000000	-18,054	-17,099	-18,750	14,990	204	10
18,025	000000	-18,035	-17,080	-18,731	14,990	205	10
18,006	000000	-18,017	-17,061	-18,713	14,990	204	10
17,981	000000	-17,992	-17,036	-18,688	14,989	215	11
17,962	000000	-17,973	-17,017	-18,669	14,989	222	12
17,945	000000	-17,954	-16,999	-18,650	14,991	212	11
17,925	000000	-17,935	-16,979	-18,631	14,990	210	11
17,907	000000	-17,916	-16,960	-18,612	14,991	221	11
17,889	000000	-17,898	-16,942	-18,593	14,992	216	11
17,866	000000	-17,873	-16,917	-18,569	14,993	218	12
17,846	000000	-17,855	-16,899	-18,550	14,991	218	11
17,831	000000	-17,836	-16,880	-18,532	14,994	215	12
17,809	000000	-17,818	-16,862	-18,513	14,992	215	11
17,794	000000	-17,799	-16,843	-18,495	14,995	208	10
17,774	000000	-17,781	-16,825	-18,477	14,993	221	11
17,751	000000	-17,757	-16,800	-18,452	14,994	204	11
17,731	000000	-17,738	-16,781	-18,433	14,993	204	10
17,709	000000	-17,719	-16,763	-18,414	14,990	222	11
17,651	000000	-17,701	-16,749	-18,396	14,951	223	11
17,635	000000	-17,682	-16,730	-18,378	14,953	217	12
