#UPS-spectrum

#Date/time: 	2018-03-26__17-17-50


#AK pressure: 	8,74E-9 	mbar
#Pass energy: 	15.0 	eV
#Volt. bias: 	-15.0 	V
#Volt. lens: 	-15.0 	V
#Step width: 	20.0 	meV
#Counttime: 	200.0 	ms
#Vor: 	16.0 	V
#Nach: 	5.0 	V
#slope: 	0.613 	V/s
#offset: 	-48.850 	V


#Slope: 	72.7 	mV/s
#Counttime: 	200.0 	ms




#E_k 	 cps 	 Ana 	 Hemi 	 Hemo 	 EP 	 Mt + 	 + meas


19,304	000000	-19,271	-18,315	-19,972	15,033	209	19
19,284	000000	-19,252	-18,296	-19,953	15,032	209	19
19,260	000000	-19,227	-18,271	-19,927	15,033	208	19
19,246	000000	-19,208	-18,252	-19,909	15,038	205	18
19,226	000000	-19,190	-18,234	-19,890	15,036	209	18
19,208	000000	-19,171	-18,215	-19,871	15,037	209	19
19,190	000000	-19,152	-18,196	-19,853	15,038	209	19
19,174	000000	-19,133	-18,177	-19,834	15,041	210	19
19,148	000000	-19,108	-18,152	-19,809	15,040	210	19
19,132	000000	-19,090	-18,133	-19,790	15,043	210	19
19,114	000000	-19,071	-18,114	-19,772	15,042	211	19
19,096	000000	-19,052	-18,095	-19,753	15,044	207	19
19,077	000000	-19,034	-18,077	-19,734	15,043	207	18
19,060	000000	-19,015	-18,058	-19,716	15,045	210	19
19,035	000000	-18,990	-18,033	-19,691	15,045	211	19
19,017	000000	-18,972	-18,014	-19,672	15,045	211	19
19,000	000000	-18,953	-17,995	-19,653	15,047	212	19
18,980	000000	-18,934	-17,976	-19,634	15,046	211	19
18,964	000000	-18,915	-17,957	-19,616	15,049	212	19
18,944	000000	-18,897	-17,939	-19,597	15,048	215	19
18,926	000000	-18,878	-17,920	-19,578	15,048	215	19
18,905	000000	-18,853	-17,895	-19,553	15,052	213	18
18,885	000000	-18,835	-17,877	-19,535	15,051	207	18
18,869	000000	-18,816	-17,858	-19,517	15,053	208	18
18,852	000000	-18,798	-17,840	-19,498	15,053	210	18
18,833	000000	-18,780	-17,821	-19,480	15,054	210	18
18,815	000000	-18,761	-17,803	-19,461	15,054	205	17
18,792	000000	-18,737	-17,778	-19,437	15,055	205	17
18,774	000000	-18,718	-17,759	-19,418	15,055	205	17
18,759	000000	-18,700	-17,740	-19,399	15,059	206	17
18,736	000000	-18,681	-17,722	-19,381	15,055	216	17
18,720	000000	-18,662	-17,703	-19,362	15,058	213	17
18,704	000000	-18,644	-17,685	-19,344	15,060	210	17
18,679	000000	-18,620	-17,660	-19,319	15,059	209	17
18,661	000000	-18,601	-17,642	-19,301	15,060	210	17
18,645	000000	-18,583	-17,623	-19,283	15,062	210	17
18,625	000000	-18,564	-17,604	-19,264	15,061	210	17
18,608	000000	-18,546	-17,586	-19,246	15,062	209	17
18,590	000000	-18,528	-17,567	-19,227	15,063	207	17
18,565	000000	-18,503	-17,543	-19,202	15,062	212	18
18,549	000000	-18,484	-17,524	-19,184	15,064	215	19
18,530	000000	-18,466	-17,506	-19,166	15,064	204	18
18,513	000000	-18,448	-17,488	-19,147	15,065	209	19
18,496	000000	-18,430	-17,469	-19,129	15,066	210	19
18,458	000000	-18,411	-17,452	-19,110	15,047	208	19
18,434	000000	-18,386	-17,428	-19,086	15,048	210	19
18,418	000000	-18,368	-17,409	-19,067	15,050	208	19
18,396	000000	-18,349	-17,391	-19,049	15,046	212	19
18,382	000000	-18,331	-17,372	-19,030	15,051	213	19
18,362	000000	-18,312	-17,354	-19,012	15,050	209	19
18,346	000000	-18,294	-17,335	-18,993	15,052	209	19
18,325	000000	-18,275	-17,317	-18,975	15,050	209	19
18,304	000000	-18,251	-17,292	-18,950	15,053	210	19
18,286	000000	-18,232	-17,273	-18,932	15,054	209	19
18,270	000000	-18,214	-17,254	-18,913	15,056	209	19
18,252	000000	-18,195	-17,236	-18,895	15,057	209	19
18,234	000000	-18,177	-17,217	-18,876	15,057	210	19
18,212	000000	-18,158	-17,199	-18,857	15,054	205	18
18,188	000000	-18,134	-17,174	-18,832	15,054	210	19
18,171	000000	-18,115	-17,155	-18,814	15,057	208	19
18,151	000000	-18,096	-17,136	-18,795	15,054	209	19
18,136	000000	-18,078	-17,118	-18,777	15,058	207	19
18,115	000000	-18,059	-17,099	-18,758	15,056	209	19
18,099	000000	-18,040	-17,080	-18,739	15,059	209	19
18,073	000000	-18,015	-17,055	-18,714	15,058	212	19
18,052	000000	-17,996	-17,036	-18,695	15,056	209	19
18,038	000000	-17,978	-17,017	-18,677	15,060	205	18
18,019	000000	-17,959	-16,999	-18,658	15,060	208	19
18,001	000000	-17,940	-16,980	-18,639	15,061	210	19
17,984	000000	-17,921	-16,961	-18,620	15,062	210	19
17,957	000000	-17,896	-16,936	-18,595	15,061	208	19
17,940	000000	-17,878	-16,917	-18,577	15,062	210	19
17,922	000000	-17,860	-16,899	-18,558	15,062	209	19
17,902	000000	-17,841	-16,880	-18,540	15,060	211	19
17,885	000000	-17,823	-16,862	-18,522	15,062	209	19
17,867	000000	-17,805	-16,844	-18,503	15,062	213	19
17,842	000000	-17,780	-16,819	-18,478	15,062	210	19
17,824	000000	-17,761	-16,800	-18,460	15,063	211	19
17,807	000000	-17,743	-16,782	-18,442	15,064	210	19
17,788	000000	-17,724	-16,763	-18,423	15,064	213	19
17,770	000000	-17,706	-16,745	-18,404	15,065	213	19
17,753	000000	-17,687	-16,726	-18,386	15,066	213	19
17,727	000000	-17,663	-16,701	-18,361	15,065	209	18
17,709	000000	-17,644	-16,683	-18,342	15,065	205	18
17,690	000000	-17,625	-16,664	-18,324	15,065	209	18
17,672	000000	-17,607	-16,646	-18,305	15,065	207	18
17,655	000000	-17,588	-16,627	-18,287	15,066	213	19
17,636	000000	-17,569	-16,608	-18,268	15,066	206	18
17,617	000000	-17,551	-16,589	-18,249	15,067	210	18
17,591	000000	-17,526	-16,564	-18,224	15,065	215	18
17,573	000000	-17,507	-16,546	-18,205	15,066	205	17
17,557	000000	-17,489	-16,527	-18,187	15,069	207	17
17,539	000000	-17,471	-16,508	-18,168	15,068	208	17
17,521	000000	-17,454	-16,490	-18,150	15,067	211	17
17,504	000000	-17,435	-16,471	-18,131	15,069	208	17
17,480	000000	-17,410	-16,446	-18,106	15,070	210	17
17,458	000000	-17,391	-16,427	-18,087	15,067	210	17
17,442	000000	-17,372	-16,408	-18,068	15,070	208	17
17,423	000000	-17,353	-16,389	-18,050	15,069	208	17
17,404	000000	-17,335	-16,371	-18,031	15,069	210	17
17,383	000000	-17,316	-16,352	-18,012	15,068	213	17
17,361	000000	-17,291	-16,327	-17,987	15,070	206	17
17,343	000000	-17,273	-16,308	-17,968	15,070	214	18
17,325	000000	-17,254	-16,290	-17,950	15,071	215	19
17,306	000000	-17,235	-16,271	-17,931	15,070	211	19
17,288	000000	-17,217	-16,252	-17,913	15,071	209	19
17,269	000000	-17,198	-16,233	-17,894	15,071	210	19
17,245	000000	-17,173	-16,209	-17,869	15,072	209	19
17,224	000000	-17,154	-16,190	-17,850	15,069	211	19
17,207	000000	-17,136	-16,171	-17,832	15,071	209	19
