H,↑-,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cd,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,↑↓,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
In,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,↑↓,↑-,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sn,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,↑↓,↑-,↑-,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sb,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,↑↓,↑-,↑-,↑-,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Te,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,↑↓,↑↓,↑-,↑-,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
I,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,↑↓,↑↓,↑↓,↑-,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Xe,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cs,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,--,--,--,--,--,↑-,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ba,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,--,--,--,--,--,↑↓,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
La,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,↑↓,↑↓,↑↓,↑↓,↑-,--,--,--,--,--,--,--,--,--,--,--,↑↓,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ce,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑-,↑-,--,--,--,--,--,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,--,--,--,--,--,↑↓,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pr,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑-,↑-,↑-,--,--,--,--,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,--,--,--,--,--,↑↓,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nd,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑-,↑-,↑-,↑-,--,--,--,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,--,--,--,--,--,↑↓,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pm,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑-,↑-,↑-,↑-,↑-,--,--,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,--,--,--,--,--,↑↓,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sm,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑↓,↑-,↑-,↑-,↑-,↑-,↑-,--,↑↓,↑↓,↑↓,↑↓,--,--,--,--,--,--,--,--,--,--,--,--,↑↓,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
